formula,pred_stability,pred_bandgap,non_metal_confidence,promise_score
NbSn,-0.005372043838596814,0.0,0.19918993886333125,0.00023603113355846303
InSn2As5,0.16684335914965243,0.0,0.1993010637286411,0.0
In(SnAs2)2,0.19926487603310217,0.0,0.31790588143162357,0.0
InSn2As3,0.33689814455775785,2.230229750514594,0.6451806884074682,0.0
InSnAs3,0.14957254987734156,0.0,0.12933632645205073,0.0
InSnAs2,0.5368134901662769,0.0,0.4365756865350715,0.0
InSnAs,0.33552231836679547,0.0,0.2740647511316795,0.0
InSn,0.15921384382719875,0.0,0.18141027769077078,0.0
Al(Sn5As8)2,0.12569439055730572,0.0,0.3908914197369524,0.0
SiSnAs3,0.014822379709212484,0.0,0.47667446329086127,0.0
Al(Sn3As5)3,0.14226096148065281,0.0,0.24213135983350775,0.0
AlSn9As14,0.12274598907710807,0.0,0.41929534740219265,0.0
Al(Sn4As7)2,0.1435795260326681,0.0,0.2282851461514881,0.0
AlSn8As13,0.1253590449176558,0.0,0.3987331152985438,0.0
AlSn7As13,0.14351904656244008,0.0,0.2510805256836026,0.0
AlSn7As12,0.13348699976974418,0.0,0.30607123694814053,0.0
AlSn7As11,0.1309631534577081,0.0,0.39985184829317355,0.0
AlSn6As11,0.15217658631641837,0.0,0.2341185995345737,0.0
Al(Sn3As5)2,0.126077002847702,0.0,0.34918473709075215,0.0
Al(Sn2As3)3,0.11834618588512816,1.9837444917670417,0.5159773183462255,0.0
AlSn9As16,0.14325947985669113,0.0,0.2510805256836026,0.0
SiSnAs2,0.39726826639439317,2.0530416637078046,0.8281195514376087,0.0
SiSnAs,0.1143033748594374,2.146634413383871,0.6482249363432603,0.0
In(Sn5As8)2,0.1372563155865754,0.0,0.25569862634051976,0.0
InSn9As16,0.1547858736700211,0.0,0.1521628107635291,0.0
In(Sn3As5)3,0.15378735529398266,0.0,0.14605176327254432,0.0
InSn9As14,0.13430791410637768,0.0,0.27877492583404784,0.0
In(Sn4As7)2,0.15129343026821496,0.0,0.13670874332799876,0.0
InSn8As13,0.13280954845497747,0.0,0.2619947665561493,0.0
InSn7As13,0.15315720266479296,0.0,0.1521628107635291,0.0
InSn3As5,0.1486776422354352,0.0,0.37666805380031554,0.0
InSn7As11,0.14368369509689094,0.0,0.2628975968256567,0.0
InSn6As11,0.1597029140924174,0.0,0.14062854208961106,0.0
