,Formula,Predicted Band Gap,Real Band Gap,Predicted Formation Energy,Real Formation Energy
0,Cu,0,0,0.07446309832283127,0
1,Al,0,0,0.09583420061107313,0
2,Si,0,1.12,0.31975090911093684,-0.3
3,GaAs,0,1.42,-0.12763044590804026,-0.7
4,Ge,0,0.66,0.24297573458122756,-0.3
5,CdTe,0,1.5,-0.4510018650334849,-0.8
6,TiO2,2.3550371164686603,3.2,-3.352226919657899,-3.3
7,Al2O3,3.767706593075951,8.8,-3.231268284755887,-5
8,MgO,2.886691708210623,7.8,-2.899688451505719,-4.5
9,Fe2O3,0.953912854961447,2.1,-1.5232436603639945,-3
10,SnO2,0.7434708897346084,3.6,-1.8868096630550983,-2.5
11,ZnO,0.7886320941236996,3.3,-1.5910590908518567,-2.5
12,SiC,1.933305367961,3,-0.30569988701681133,-2
13,MoS2,1.2230341227692896,1.2,-0.8698836121096238,-1.5
14,PbS,1.1581542110200498,0.4,-0.724991939687215,-0.7
15,SrTiO3,1.7790586507498782,3.2,-3.535582848406608,-3.2
16,BaTiO3,1.851594028032113,3.2,-3.4702131280010593,-3.3
17,CH3NH3PbI3,1.7497135044837349,1.5,-0.3973646507580371,-0.2
18,BN,2.5546896049571592,5.7,-0.9181812060632121,-1.5
19,GaN,0.13008902656765198,3.4,0.02187031481098919,-1.5
